@relation _Users_mani_Courses_CS6604DigitalLibraries_Project_codeBase_mani_filesLargeDataSet

@attribute text string
@attribute @@class@@ {'Access control',Authorization,'Block and stream ciphers','Browser security','Cryptanalysis and other attacks','Data anonymization and sanitization','Database activity monitoring','Denial-of-service attacks','Digital rights management','Digital signatures','Distributed systems security','Domain-specific security and privacy architectures','Economics of security and privacy','Embedded systems security','File system security','Formal security models','Hardware reverse engineering','Hardware-based security protocols','Hash functions and message authentication codes','Information accountability and usage control','Information flow control','Information-theoretic techniques','Intrusion detection systems','Key management','Logic and verification','Malicious design modifications','Malware and its mitigation','Management and querying of encrypted data','Mathematical foundations of cryptography','Mobile and wireless security','Mobile platform security','Multi-factor authentication','Penetration testing','Privacy protections','Privacy-preserving protocols','Pseudonymity, anonymity and untraceability','Public key encryption','Security protocols','Security requirements','Side-channel analysis and countermeasures','Social aspects of security and privacy','Social network security and privacy','Software reverse engineering','Software security engineering','Spoofing attacks','Tamper-proof and tamper-resistant designs','Trust frameworks','Trusted computing','Usability in security and privacy','Virtualization and security','Vulnerability scanners','Web application security','Web protocol security'}

@data
'locking protocols for multi-level transactions have been studied since the very beginning. more recently, a hybrid concurrency control protocol for multi-level transactions called fopl has been developed. it employs access lists on the database objects and forward oriented commit validation. the basic test on all levels is based on the reordering of the access lists.so far a detailed analysis of fopl \'s benefits is missing. this paper describes a testbed for multi-level transactions which allows to measure transaction throughput and rollback frequency. the testbed allows to use a mix of strict two-phase locking and fopl on up to 4 levels. the tests work on randomly generated multi-level transactions on the basis of pages, records and virtual database objects on higher levels.a comparison of multi-level concurrency control protocols','Access control'
'the edca mechanism of the ieee 802.11 standard has been designed to support, among others, video traffic. this mechanism relies on a number of parameters whose configuration is left open by the standard. although there are some recommended values for these parameters, they are fixed independent of the wlan conditions, which results in suboptimal performance. following this observation, a number of approaches in the literature have been devised to set the edca parameters based on an estimation of the wlan conditions. however, these previous approaches are based on heuristics and hence do not guarantee optimized performance. in this article we propose a novel algorithm to adjust the edca parameters to carry video traffic which, in contrast to previous approaches, is sustained on mathematical foundations that guarantee optimal performance. in particular, our approach builds upon (i) an analytical model of the wlan performance under video traffic, used to derive the optimal point of operation of edca, and (ii) a control theoretic designed mechanism which drives the wlan to this point of operation. via extensive simulations, we show that the proposed approach performs optimally and substantially outperforms the standard recommended configuration as well as previous adaptive proposals.a control theoretic scheme for efficient video transmission over ieee 802.11e edca wlans','Access control'
'we propose a qos based call admission control (cac) scheme designed for multiclass cellular networks. the scheme allocates the portions of the channel capacity to individual traffic classes, and by monitoring the call arrival patterns periodically updates the share of each class. for each traffic class, it treats new and handoff calls separately to keep the drop probability of handoff calls as small as possible to maintain the user satisfaction at a high level. our modeling study and analysis show that the cac mechanism is capable of both satisfying the quality of service requirements of multiple traffic classes while optimizing the system utilization.a dynamic call admission control scheme for optimization with qos provisioning in multiclass cellular networks','Access control'
'a dynamic key-lock-pair access control scheme','Access control'
'in this paper we present k-vac -- a key-value access control model for modern non-relational data stores. this model supports specification and enforcement of access control policies at different levels of resource hierarchy, such as a column family, a row, or a column. the policies can be based on contents of the key-value store and they may also include context information. through a case-study example we demonstrate the capabilities of this system.a fine-grained access control model for key-value systems','Access control'
'reflective database access control (rdbac) is a model in which a database privilege is expressed as a database query itself, rather than as a static privilege contained in an access control list. rdbac aids the management of database access controls by improving the expressiveness of policies. however, such policies introduce new interactions between data managed by different users, and can lead to unexpected results if not carefully written and analyzed. we propose the use of transaction datalog as a formal framework for expressing reflective access control policies. we demonstrate how it provides a basis for analyzing certain types of policies and enables secure implementations that can guarantee that configurations built on these policies cannot be subverted.a formal framework for reflective database access control policies','Access control'
'provenance is a directed acyclic graph that explains how a resource came to be in its current form. traditional access control does not support provenance graphs. we cannot achieve all the benefits of access control if the relationships between the data and their sources are not protected. in this paper, we propose a language that complements and extends existing access control languages to support provenance. this language also provides access to data based on integrity criteria. we have also built a prototype to show that this language can be implemented effectively using semantic web technologies.a language for provenance access control','Access control'
'attribute based access control (abac) grants accesses to services based on the attributes possessed by the requester. thus, abac differs from the traditional discretionary access control model by replacing the &#60;i>subject&#60;/i> by a set of attributes and the &#60;i>object&#60;/i> by a set of services in the access control matrix. the former is appropriate in an identity-less system like the internet where subjects are identified by their characteristics, such as those substantiated by certificates. these can be modeled as attribute sets. the latter is appropriate because most internet users are not privy to method names residing on remote servers. these can be modeled as sets of service options. we present a framework that models this aspect of access control using logic programming with set constraints of a computable set theory [dppr00]. our framework specifies policies as stratified constraint flounder-free logic programs that admit primitive recursion. the design of the policy specification framework ensures that they are consistent and complete. our abac policies can be transformed to ensure faster runtimes.a logic-based framework for attribute based access control','Access control'
'reflective database access control (rdbac) is a model in which a database privilege is expressed as a database query itself, rather than as a static privilege in an access control matrix. rdbac aids the management of database access controls by improving the expressiveness of policies, enabling enforcement at the database level rather than at the application level. this in turn facilitates the creation of new applications without the need for duplicating security enforcement in each application. past work has proposed the use of the transaction datalog (td) language as a theoretical basis for rdbac. we present a case study for a medical database using td. this case study includes a wide range of access patterns for which rdbac provides a simple method for formulating policies, demonstrating the flexibility of rdbac as well as the practicality and scalability of using such a system in real-world applications that require non-trivial policy definitions on large data sets.a medical database case study for reflective database access control','Access control'
'security policy enforcement is instrumental in preventing the unauthorized disclosure of sensitive data, protecting the integrity of vital data, mitigating the likelihood of fraud, and ultimately enabling the secure sharing of information. in accessing a given resource, policy may dictate, for example that a user has a need-to-know, is appropriately cleared, is competent, has not already performed a different operation on the same resource, the resource was previously accessed by a different user, is incapable of accessing other enterprise resources, or is capable of accessing an object or any copy of the object while performing a specific task. currently, there exist a rich set of formal security models that can translate organizational policies. a small sample of well documented policies include, avors of discretionary access control (dac), mandatory access control (mac), role-based access control (rbac), orcon, chinese wall, and history-based separation of duty. enterprise policies that are designed to protect resources are also ad-hoc in nature. as a major component of any operating system or application, access control mechanisms come in a wide variety of forms, each with their individual method for authentication, access control data constructs for specifying and managing policy, and functions for making access control decisions and enforcement of policies. of the numerous recognized access control policies, today\'s oss rigidly limit enforcement to a small subset of known policies. policies are also routinely accommodated through the implementation of access control mechanisms within applications. prominent among these applications are database management systems, but these applications can also include a number of smaller applications such as enterprise calendars, time and attendance, and workflow management. essentially, any application that requires a user\'s authentication, typically also affords an independent access control service. not only do these applications further aggravate identity and privilege management problems, applications can also undermine policy enforcement objectives. for instance, although a file management system may narrowly restrict user access to a specific file, chances are the content of that file can be copied to an attachment or a message and mailed to anyone in the organization, or for that matter, the world. in consideration of these issues an important question is raised - does a meta model exist that can serve as a unifying framework for specifying and comprehensively enforcing any access control policy? some may argue that convergence towards a meta model is already underway. for example, rbac, and xacml have been shown effective in their specification and enforcement of access control policies and have been applied in providing interoperable protection. is rbac fundamental to access control and can it eventually be extended and tinkered with to accommodate any policy? rbac has already been shown to be able to be configured to enforce both dac and mls. and, since rbac was formally proposed in the early and mid 90\'s a large number of extensions to the rbac model have been proposed to accommodate a wide variety of policy issues and applications. the question here is - are these extensions getting closer to a meta model or are we making it up as we go along. at sacmat 2005, nist had proposed an access control framework, referred to as the policy machine (pm) that has been shown to accommodate a wide variety of access control policies including dac, mac, and rbac. since that publication the pm has been refined and to demonstrate its viability in specifying and enforcing a wide variety of attribute-based policies, nist has developed a reference implementation. however, some have suggested that the basic relations of the pm are similar to that of rbac and that its other policy appeasing relations and functions could be applied in extending the rbac model. in addressing the interoperability problem and the policy exibility problem the xacml policy specification language has been growing in recognition and its use. can this approach to access control be adopted or can it evolve as the meta model? xacml\'s current focus is on providing access control that is interoperable among applications. as currently specified and applied xacml has does not deal with all types of objects, for example files in an operating system. it is not comprehensive (e.g., it would not prevent the leakage of a sensitive object to an unauthorized principle through copying and past to an email message that could be sent to anyone in the world). in addition to discussions related to the above technologies, this panel will address two fundament questions. what practical good can the existence of a meta model provide? and, is it even possible for a meta model to be developed given the large diversity and types of access control policies?a meta model for access control','Access control'
